Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
21,63.0,Medium,Medium,No,10,Not Available,Low,Yes,1,High,High,,Positive,2,No,College,Near,Female,64
27,99.0,High,Medium,Yes,NULL,57,Medium,Yes,NULL,Low,Medium,Public,Neutral,3,No,College,Moderate,Not Available,73
14,98.0,Medium,Medium,Yes,Not Available,82,High,Yes,1,Low,Not Available,Private,Positive,3,No,High School,Moderate,NULL,69
20,62.0,High,Low,No,8,94,High,Yes,1,,Medium,Public,Positive,3,No,--,Near,Female,65
23,,High,Low,Yes,6,93,Medium,Yes,0,Medium,High,Private,Positive,5,No,Postgraduate,,Male,70
Unknown,67.0,High,Medium,,4,78,Low,Yes,1,Low,High,Public,Positive,2,No,High School,Near,Female,Unknown
21,79.0,Medium,Low,Yes,8,54,High,Yes,3,Low,Medium,Public,Positive,3,No,Postgraduate,Moderate,Female,67
18,93.0,Medium,High,Yes,5,,Medium,Yes,0,Low,Medium,Public,Positive,NULL,No,High School,Near,Male,70
15,98.0,High,Low,No,8,80,Low,No,2,High,High,Public,Negative,2,N/A,Postgraduate,--,Female,Unknown
N/A,85.0,High,Medium,No,10,61,High,Yes,2,Medium,--,Public,Neutral,2,Yes,High School,Near,Male,68
14,Not Available,Medium,High,No,5,95,Not Available,Yes,1,Low,NULL,Public,Positive,Unknown,Yes,College,Near,Male,N/A
2,84.0,Low,High,No,8,54,Low,Yes,3,Low,Low,Public,Positive,4,--,,Near,Male,Unknown
23,72.0,Medium,Medium,Yes,6,69,Low,Yes,2,High,Medium,,Positive,4,No,High School,Near,--,67
25,96.0,Medium,Low,NULL,9,55,N/A,Yes,2,Medium,NULL,Public,Neutral,Not Available,No,High School,Moderate,Male,71
6,95.0,High,Medium,Yes,7,96,Medium,Yes,4,Low,Medium,Public,Neutral,2,No,High School,Moderate,Female,68
14,82.0,NULL,Medium,Yes,7,52,High,Yes,3,Low,Medium,Public,,2,No,High School,Near,Female,66
24,73.0,Low,Medium,Yes,9,71,High,Yes,0,Low,Medium,Public,Neutral,NULL,No,High School,N/A,Male,64
32,72.0,NULL,Medium,Yes,8,93,Low,Yes,1,Low,Medium,Private,Neutral,4,No,Postgraduate,Near,Female,71
20,61.0,Low,Low,Yes,6,63,Medium,Yes,1,Medium,High,Public,Positive,4,N/A,College,Far,N/A,N/A
16,93.0,Medium,High,No,10,55,Medium,No,2,Low,Medium,Public,Neutral,2,Unknown,College,Near,Male,67
19,78.0,Medium,Low,Yes,5,56,Low,Yes,3,High,Medium,Public,Neutral,4,No,College,Moderate,Female,65
28,73.0,High,Medium,Yes,7,70,Low,No,0,Low,N/A,Private,Negative,6,No,College,Moderate,Female,66
16,79.0,Unknown,High,Yes,6,71,Medium,Yes,2,Low,N/A,Public,Neutral,4,No,High School,Near,Female,68
15,93.0,Medium,Medium,No,,86,Medium,Yes,0,Low,NULL,Public,Neutral,2,No,College,Far,Male,66
17,65.0,Medium,--,--,5,62,Medium,Yes,--,Medium,Medium,Public,Positive,4,No,High School,Near,Female,63
14,94.0,Low,Low,Yes,7,85,NULL,Yes,1,High,Medium,Not Available,Neutral,3,No,High School,Moderate,Female,66
21,96.0,Medium,High,No,8,100,Medium,Yes,1,High,Medium,Unknown,Positive,2,No,College,,Female,73
30,98.0,Medium,Low,Yes,9,93,Medium,Yes,1,Low,Low,Private,Positive,3,No,High School,Near,--,88
N/A,76.0,,Medium,No,9,82,High,Yes,0,Medium,High,Private,Neutral,4,No,High School,Near,Male,67
18,69.0,High,High,Yes,7,97,Medium,Yes,2,Medium,Medium,Public,Positive,2,No,NULL,Near,Female,69
Not Available,75.0,Medium,Low,Yes,6,100,High,Yes,2,Low,Medium,Public,Positive,3,No,High School,NULL,Female,67
11,73.0,Medium,High,Yes,9,79,Medium,Yes,1,Low,High,Public,Neutral,2,No,High School,Near,Male,N/A
25,67.0,Medium,High,Yes,6,64,Medium,No,0,Low,Medium,Public,Neutral,2,No,High School,,Male,64
20,84.0,Low,Not Available,No,5,96,Low,Yes,1,Low,Medium,Public,Negative,2,No,High School,Near,Male,65
19,79.0,Medium,Medium,No,8,92,High,Yes,1,Medium,High,Public,Positive,2,No,High School,Near,--,68
39,95.0,Medium,Unknown,Yes,9,54,High,Yes,2,Medium,Medium,--,Positive,3,No,High School,Moderate,Male,77
22,61.0,Medium,NULL,,6,97,High,Yes,0,Low,,Public,Negative,2,Unknown,High School,Near,Male,Unknown
15,86.0,High,High,,10,68,Medium,Yes,NULL,High,Medium,Public,Neutral,5,No,College,Near,Male,69
17,91.0,Medium,Medium,Yes,8,66,Medium,Yes,3,Medium,Low,Public,Positive,2,No,College,Near,Male,69
--,90.0,Medium,Low,No,8,67,Medium,--,2,Medium,Medium,Public,Negative,3,No,Unknown,Near,Male,70
21,95.0,High,Medium,Yes,6,66,High,Yes,1,Medium,High,NULL,Positive,4,No,College,Near,Male,--
N/A,89.0,Medium,Low,Yes,9,76,Medium,Yes,Not Available,,High,Public,Neutral,3,No,Postgraduate,Far,Male,66
26,97.0,Medium,Unknown,No,5,--,High,Yes,2,Low,Low,Private,Positive,3,No,High School,Unknown,Female,71
16,73.0,Medium,Low,Yes,6,71,Medium,Yes,2,High,High,Public,Positive,5,No,College,Near,Male,66
31,80.0,Medium,Medium,Yes,6,71,High,Yes,Not Available,Low,High,NULL,Neutral,3,No,High School,Unknown,Female,71
26,61.0,Medium,Low,Yes,5,87,Medium,Yes,3,High,High,Public,Positive,2,Yes,High School,Near,Male,66
17,60.0,Medium,High,Yes,8,50,High,N/A,0,Low,High,Public,Positive,Unknown,No,High School,Near,Female,63
28,70.0,High,High,Yes,8,97,Medium,Yes,5,Not Available,Low,Public,Negative,5,Yes,High School,Near,Male,70
20,64.0,High,Medium,Yes,8,86,Medium,Yes,1,Medium,Not Available,Public,Neutral,2,No,Postgraduate,Near,Male,66
N/A,70.0,Medium,Medium,No,7,NULL,Medium,Yes,1,Medium,Medium,Public,Negative,4,No,Not Available,Near,Male,66
23,67.0,Medium,Medium,Unknown,8,71,High,Yes,2,Medium,Medium,Public,Neutral,4,No,--,Moderate,Female,66
15,61.0,Medium,Medium,No,7,NULL,Medium,Yes,1,Medium,Medium,Public,Neutral,3,No,High School,Near,N/A,62
16,96.0,Medium,Medium,,6,50,High,Yes,1,Medium,High,Public,Positive,3,No,College,Near,Male,69
26,60.0,Unknown,High,Yes,6,54,Low,Yes,1,Low,Medium,,Positive,1,No,Postgraduate,Moderate,Male,63
N/A,89.0,Medium,Low,Yes,4,90,Low,Yes,1,High,Medium,Public,,2,Yes,Postgraduate,Near,Unknown,68
18,66.0,Medium,High,No,9,87,Medium,Yes,1,Medium,Low,Private,Positive,3,No,High School,Moderate,Male,64
14,96.0,Low,High,Yes,9,64,High,Yes,2,Low,High,Public,Neutral,3,No,Postgraduate,Moderate,Male,69
--,Unknown,Low,Medium,Yes,--,80,Low,Yes,3,Low,High,Public,Positive,3,No,High School,Near,Male,71
Unknown,86.0,Medium,Medium,Yes,6,Not Available,Medium,No,2,Medium,Low,Private,Negative,4,No,High School,Near,Male,71
14,87.0,Medium,Medium,No,6,76,Medium,Yes,1,Low,Medium,Private,Positive,Unknown,No,College,,Female,66
20,,Medium,Medium,Yes,4,80,Low,Yes,2,High,Medium,Private,Positive,3,Yes,,Moderate,Male,63
28,99.0,Low,Medium,Yes,8,100,Low,NULL,0,Medium,NULL,NULL,Positive,2,No,High School,Far,Male,72
20,95.0,Medium,Medium,Yes,8,99,Low,No,1,Low,Medium,Private,Neutral,3,No,College,Near,Female,70
23,96.0,Medium,Low,No,9,99,Medium,Yes,0,High,Medium,Private,Neutral,2,No,College,Near,Female,71
14,86.0,Low,Low,Unknown,6,77,Medium,Yes,NULL,High,Medium,Private,Neutral,3,No,High School,Far,Male,NULL
23,74.0,Medium,Low,,8,66,Low,Yes,0,High,Unknown,N/A,Negative,4,No,Postgraduate,Near,Not Available,65
19,96.0,Low,Medium,No,6,78,High,Yes,1,Low,Low,Public,Positive,2,No,High School,Far,Male,--
26,72.0,High,Medium,No,9,81,High,Yes,0,NULL,High,Public,Neutral,3,--,N/A,--,Male,68
27,83.0,Medium,Medium,Yes,8,,Medium,Yes,3,Medium,Medium,Public,Positive,4,No,College,Far,Female,70
36,64.0,Medium,Medium,Yes,5,82,Medium,Yes,2,Medium,High,Private,Positive,2,No,High School,Near,Female,70
NULL,97.0,Low,High,Yes,7,81,Low,Yes,2,Medium,High,Public,Neutral,Unknown,Unknown,High School,Near,Male,72
22,66.0,Medium,High,No,4,95,Medium,Yes,1,Low,Low,Public,Neutral,5,No,College,Moderate,Male,65
21,69.0,Medium,Medium,Yes,5,62,High,Yes,2,Low,Medium,Public,Positive,3,No,High School,Near,Male,65
18,82.0,High,Medium,Yes,5,85,High,Yes,3,Medium,High,Private,Neutral,4,No,Postgraduate,Near,Male,71
22,91.0,High,High,Yes,6,73,Low,Yes,N/A,High,Medium,Public,Positive,4,No,Postgraduate,Near,Male,74
18,85.0,Unknown,Unknown,No,7,56,Low,Yes,0,Low,Medium,Private,Positive,4,No,High School,Moderate,Male,64
21,69.0,Medium,Medium,No,7,66,High,Yes,1,Medium,Medium,NULL,Neutral,4,No,High School,Far,Female,64
28,60.0,Medium,High,Yes,7,53,Low,Yes,3,Low,Medium,Private,Neutral,3,No,,--,Female,65
14,90.0,Low,Medium,Yes,7,66,Medium,Yes,1,Medium,Medium,Public,Neutral,--,No,College,Near,Male,67
27,,High,Medium,N/A,7,53,Low,N/A,2,Low,High,Public,Neutral,3,No,College,Near,NULL,73
28,92.0,Low,High,No,5,96,High,Yes,1,Medium,Low,Public,Neutral,3,No,N/A,Moderate,Male,--
Unknown,78.0,Medium,Medium,No,7,55,Low,Yes,0,Medium,Medium,Public,Unknown,3,No,College,Near,Male,65
7,96.0,--,High,No,9,91,Unknown,Yes,0,Low,Medium,Public,Neutral,4,No,College,--,Male,67
16,76.0,Medium,Medium,Yes,7,95,Low,Yes,2,Medium,Medium,Public,Negative,3,,High School,,Female,66
28,81.0,High,Medium,Yes,8,73,Low,Yes,0,Medium,High,Unknown,Negative,3,,Postgraduate,Near,Male,70
20,79.0,High,Medium,No,8,53,Medium,Yes,2,Medium,Medium,Private,Neutral,3,No,High School,NULL,--,66
14,78.0,High,High,Yes,8,80,Low,Yes,1,NULL,Medium,Public,Neutral,1,No,High School,Near,Female,66
17,91.0,Medium,Low,Yes,7,62,Low,Yes,3,High,Medium,Public,Negative,3,No,Postgraduate,Near,Male,68
N/A,Unknown,Low,Medium,Yes,Unknown,59,Low,Yes,3,Low,Medium,Public,Positive,4,No,College,Near,Male,68
23,73.0,High,--,No,8,78,Low,NULL,0,High,Medium,Public,Neutral,4,Unknown,High School,,Female,67
19,70.0,High,Medium,Yes,8,68,High,No,1,Low,Medium,Public,Positive,3,No,College,Not Available,Female,65
18,62.0,Medium,Low,--,8,87,Medium,Yes,,Low,Medium,Public,Positive,4,No,College,Near,Female,64
18,83.0,High,Medium,--,5,80,High,Yes,1,High,NULL,Public,Positive,2,No,College,Near,Male,70
Not Available,69.0,N/A,Medium,No,5,91,Medium,Not Available,0,High,Medium,Public,Positive,3,No,College,Moderate,Male,63
30,66.0,Medium,High,No,6,53,Low,No,2,Low,Medium,Public,Positive,2,No,High School,Near,Male,65
18,86.0,Low,Medium,Yes,--,62,Medium,Yes,4,Medium,Medium,--,Negative,2,Yes,Postgraduate,Near,Female,67
27,87.0,Medium,Medium,Yes,,78,Low,Yes,3,Low,Medium,Private,Not Available,5,N/A,High School,Near,NULL,71
29,--,High,Medium,Yes,7,94,Medium,Yes,1,Low,Low,Private,Neutral,4,No,High School,Near,Female,73
26,80.0,Medium,Medium,No,4,NULL,Low,Yes,1,Low,Medium,Private,Neutral,3,No,High School,Far,Male,67
17,96.0,High,Medium,Yes,7,84,Medium,Yes,2,Low,High,Private,Positive,3,No,College,Near,Female,72
22,97.0,Medium,--,No,7,79,High,N/A,2,Medium,High,Public,Positive,0,No,High School,Far,Male,71
20,92.0,Medium,High,Yes,NULL,82,High,Yes,0,Medium,Medium,Public,Neutral,4,No,Postgraduate,Near,Male,72
--,85.0,High,N/A,Yes,7,61,Medium,Yes,1,Medium,High,Public,Negative,3,No,High School,Near,Male,68
22,72.0,Low,Low,Yes,5,80,Medium,Yes,2,Low,High,Public,Neutral,3,No,College,Near,Female,65
13,99.0,High,Medium,No,6,75,Low,Yes,1,NULL,Medium,Public,Positive,4,Yes,College,Far,Female,68
27,71.0,Medium,Low,No,Unknown,69,Medium,Yes,1,High,Medium,Public,Positive,4,No,College,Near,Male,67
17,68.0,Medium,Medium,Unknown,7,94,High,Yes,1,High,--,Private,Unknown,4,No,College,Moderate,Female,66
21,78.0,Medium,Low,Unknown,6,91,Medium,Yes,0,Medium,Low,Private,Neutral,1,Yes,High School,Near,Male,64
22,62.0,High,Medium,No,6,54,Medium,Yes,3,Low,Medium,Private,Neutral,3,No,Postgraduate,Near,Male,65
18,99.0,Medium,Medium,No,6,99,Medium,Yes,0,Low,Medium,Public,,Not Available,No,High School,NULL,Male,69
24,84.0,Medium,Medium,Yes,7,61,,Yes,2,Medium,Medium,Public,Unknown,2,,High School,,Male,68
17,82.0,High,High,No,Not Available,61,Medium,Yes,--,Medium,Medium,Public,Neutral,4,No,Postgraduate,Near,Not Available,69
25,86.0,Medium,Medium,Yes,9,NULL,Low,Yes,1,High,Medium,Private,Neutral,3,No,High School,Moderate,Male,70
12,80.0,High,Medium,Not Available,5,72,Medium,--,N/A,High,Medium,Private,Positive,4,Yes,High School,Near,--,65
21,61.0,Medium,Medium,No,4,90,Low,Yes,2,Medium,Low,Public,Neutral,3,No,N/A,Near,Male,--
32,Unknown,Low,Medium,Yes,8,64,Medium,,1,Low,High,Private,Positive,3,No,College,Near,Unknown,71
14,89.0,Medium,High,Yes,6,94,Low,Yes,0,Low,Medium,Private,Neutral,2,--,Postgraduate,Near,Male,68
16,77.0,Medium,Medium,Yes,7,92,High,--,N/A,Low,High,Public,Positive,3,,Postgraduate,--,Female,70
23,90.0,Medium,High,Yes,8,76,High,Yes,2,Medium,Low,Public,Positive,3,Unknown,High School,Near,Female,72
21,Not Available,Medium,NULL,Yes,6,85,Medium,Yes,3,Low,Low,Unknown,Neutral,1,No,College,Far,Female,64
22,NULL,,Medium,No,7,98,Low,Yes,0,Low,Medium,Not Available,Positive,2,No,Postgraduate,Moderate,Male,NULL
23,66.0,Medium,Low,Yes,8,73,High,Yes,,High,Medium,Public,Positive,2,No,College,Near,,66
Unknown,75.0,Medium,High,Yes,9,75,High,Yes,--,Medium,High,Public,Positive,3,No,College,Far,Male,69
27,94.0,Medium,Low,No,6,86,Medium,Yes,2,Medium,Medium,Private,Neutral,2,No,High School,,Female,71
22,Unknown,Medium,High,Yes,6,69,High,Yes,Unknown,High,--,Public,Negative,3,Yes,N/A,Near,Male,69
19,75.0,,N/A,No,8,98,Low,Yes,1,Low,Medium,Public,Neutral,3,No,Postgraduate,Moderate,NULL,67
24,84.0,Low,Medium,Yes,7,52,Medium,Yes,0,Low,NULL,NULL,Neutral,3,No,High School,Near,Male,66
31,89.0,Medium,Medium,N/A,7,70,N/A,Yes,2,Low,NULL,Public,Unknown,,N/A,High School,Moderate,Female,71
19,70.0,Medium,Low,Yes,9,--,Low,Yes,2,High,Medium,Public,Neutral,2,Yes,High School,Near,Male,63
14,67.0,Medium,Low,No,4,71,Medium,Yes,0,High,Medium,Public,Neutral,,No,College,Near,Female,62
27,99.0,Medium,High,No,5,63,Medium,Yes,0,Medium,High,Public,Not Available,4,No,High School,Near,Female,N/A
19,85.0,High,Medium,No,Unknown,NULL,Low,--,1,Medium,High,Public,Negative,3,No,High School,Far,Female,66
NULL,99.0,High,--,NULL,9,94,Medium,Yes,3,Unknown,High,Public,Positive,2,No,Postgraduate,Moderate,Male,72
25,Unknown,High,Low,Yes,8,77,Low,Yes,1,Low,Medium,Public,Neutral,2,No,Postgraduate,Moderate,Female,67
17,88.0,Low,Low,No,Unknown,67,Medium,No,0,Medium,High,Public,Neutral,3,No,Postgraduate,Near,N/A,65
19,69.0,Medium,Medium,Yes,7,84,Not Available,Yes,2,Medium,Medium,Public,Neutral,4,No,High School,Near,Male,66
22,70.0,High,Medium,Yes,7,81,Low,,3,Medium,Medium,Public,Neutral,NULL,No,,Moderate,Female,68
21,80.0,Medium,High,Yes,4,78,Medium,Yes,1,Medium,High,Private,Neutral,4,No,High School,Not Available,Female,N/A
24,73.0,N/A,Medium,--,7,70,Medium,Unknown,0,High,Medium,Public,Negative,3,No,Postgraduate,Near,Female,68
17,67.0,Medium,High,Yes,5,54,Medium,Yes,0,Low,Medium,Public,Negative,2,No,High School,,Male,61
23,71.0,High,Low,Yes,8,--,Medium,NULL,3,Medium,High,Private,Positive,--,No,High School,Near,Male,68
18,61.0,High,Low,Yes,5,71,Low,Yes,3,High,High,Private,N/A,3,No,College,N/A,Male,64
24,88.0,Medium,Low,Yes,7,71,Low,No,1,Unknown,High,Public,Neutral,3,No,Unknown,Unknown,Male,67
N/A,80.0,Low,High,Yes,9,62,Unknown,Yes,3,High,Low,Public,Neutral,3,No,High School,Moderate,Male,68
14,64.0,Medium,High,No,8,62,Low,Yes,1,Medium,High,Public,Positive,N/A,Yes,High School,Moderate,Male,61
27,67.0,High,Low,No,8,89,Low,Yes,1,Low,Low,Public,Positive,Not Available,No,Postgraduate,Near,Female,66
17,64.0,High,Low,Yes,7,74,Low,Not Available,2,Medium,Low,Public,Positive,2,No,Postgraduate,Near,Female,64
25,85.0,Low,N/A,NULL,5,55,Low,N/A,3,High,Medium,Public,Negative,3,,High School,Moderate,Female,67
22,64.0,Unknown,High,N/A,6,Not Available,Low,Yes,2,High,Medium,Private,Negative,4,No,,Moderate,Female,64
31,90.0,High,High,No,7,61,Low,Unknown,--,Low,Medium,Public,Positive,3,,High School,--,Male,72
NULL,61.0,Medium,Medium,No,7,N/A,Low,Yes,2,Unknown,Medium,Public,Negative,3,No,Postgraduate,Far,Male,--
18,70.0,High,Medium,Yes,5,81,Low,Yes,2,Low,Medium,Private,Negative,2,No,High School,Far,,63
20,96.0,High,High,No,8,57,Low,Yes,1,Low,Medium,Private,Neutral,4,No,High School,Near,Male,70
18,,High,Medium,N/A,5,N/A,Low,Yes,3,Medium,,Public,Positive,3,No,College,Moderate,Male,69
Not Available,63.0,Low,Medium,Yes,9,54,Medium,Yes,3,Medium,Low,Public,Positive,2,No,High School,Near,Male,64
10,NULL,Low,Medium,No,7,52,Medium,Yes,2,Medium,Medium,Public,Positive,3,NULL,Postgraduate,Near,Male,Not Available
14,80.0,Low,Medium,Yes,8,93,Medium,Yes,3,Low,High,Private,Positive,4,No,High School,Near,Female,67
14,94.0,High,High,Yes,8,83,Medium,Unknown,4,Medium,Low,--,Negative,5,Yes,Postgraduate,Near,Female,71
26,84.0,Medium,High,Yes,10,89,,Yes,0,Not Available,High,Not Available,Positive,1,No,High School,Far,Female,70
30,87.0,Low,Medium,No,7,,Medium,Yes,2,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Male,69
19,100.0,Medium,Low,No,Unknown,66,,Yes,0,--,Medium,Public,Neutral,3,No,,Moderate,Male,68
19,69.0,Medium,High,Yes,6,72,Medium,No,1,Low,Medium,Public,Neutral,1,No,College,--,N/A,64
20,85.0,High,Not Available,Yes,9,83,Low,Yes,3,Medium,Medium,Public,Positive,3,Yes,College,Near,Not Available,70
27,78.0,High,Low,Yes,5,77,Medium,Yes,0,Medium,Low,Private,Neutral,3,No,Postgraduate,Near,Male,69
14,62.0,N/A,Medium,Yes,6,--,Medium,Yes,0,High,,Public,Positive,2,No,College,Not Available,Female,63
21,Not Available,Low,Medium,No,--,58,N/A,,--,Medium,Low,Public,,3,No,High School,Near,Female,60
26,65.0,High,Low,No,7,74,Medium,Yes,2,Low,Medium,Public,Negative,4,No,High School,Near,Female,65
23,86.0,Medium,Medium,No,8,91,Medium,Yes,0,Low,Medium,Public,Negative,0,No,High School,Near,Male,67
21,83.0,Medium,Low,No,--,75,Low,Yes,1,Medium,Medium,Public,Negative,4,No,College,Near,Male,66
26,82.0,Low,High,No,7,60,Medium,No,3,Low,Medium,Public,Neutral,3,No,Postgraduate,Near,Female,68
4,61.0,Low,High,Yes,7,71,High,Yes,0,Low,Low,Public,NULL,1,No,Postgraduate,Near,Male,58
24,79.0,Low,High,Yes,,88,Medium,Yes,0,Medium,Medium,Public,Unknown,,No,High School,Moderate,Female,67
16,97.0,Medium,Medium,Yes,8,57,Low,Yes,0,Medium,Medium,Public,Positive,4,Yes,,Near,Male,68
9,76.0,NULL,Medium,Yes,7,79,Medium,Yes,NULL,Low,Medium,Public,Neutral,3,No,N/A,Near,Female,62
23,85.0,Low,High,No,7,98,High,No,2,Low,Medium,Public,Negative,3,No,Postgraduate,Moderate,Female,69
28,91.0,Medium,High,N/A,6,69,High,Yes,--,NULL,High,Not Available,Neutral,4,No,High School,Far,Not Available,73
19,NULL,High,Low,No,6,52,Medium,Yes,2,Low,Medium,Public,Negative,4,Yes,High School,Moderate,Male,Not Available
26,81.0,Low,--,Yes,5,82,N/A,Yes,0,Medium,Medium,Public,Negative,5,Yes,Postgraduate,N/A,Female,67
30,94.0,Medium,Medium,No,8,52,Medium,Yes,1,Medium,Low,--,Neutral,4,No,High School,--,Female,--
28,76.0,Medium,Medium,Yes,9,60,Medium,Yes,1,Low,Medium,Public,Neutral,2,No,High School,Far,Male,66
30,96.0,High,Medium,Not Available,10,52,Medium,Yes,0,High,High,Public,Positive,4,No,College,Moderate,Female,74
24,Unknown,Medium,High,No,8,59,Low,Yes,2,Low,High,Public,NULL,--,No,High School,Near,Male,67
20,N/A,High,Medium,No,6,93,High,Yes,2,Medium,High,Public,Negative,Not Available,No,Postgraduate,Not Available,Male,
10,62.0,Medium,Medium,No,6,87,High,Yes,2,Low,High,Public,Neutral,3,No,High School,Near,Male,61
19,92.0,Medium,High,N/A,8,67,Medium,Yes,2,Medium,Medium,Private,Negative,2,Not Available,High School,,Female,69
15,77.0,Low,Not Available,Yes,N/A,NULL,Low,Yes,4,Low,Medium,Public,Positive,4,No,High School,Moderate,Male,
33,69.0,NULL,High,Yes,7,83,Medium,Yes,2,Medium,Low,Public,--,2,No,Postgraduate,Near,Male,71
19,69.0,Medium,Low,N/A,7,72,Medium,Yes,1,Low,Low,Unknown,Positive,2,No,High School,Far,Female,61
21,96.0,Medium,High,Yes,9,53,Medium,Yes,0,Low,High,Public,--,3,No,College,Near,Male,70
23,NULL,Medium,Low,No,6,87,Medium,Yes,2,Medium,Medium,Private,Neutral,3,No,High School,Moderate,Male,70
20,82.0,Medium,High,Yes,9,Not Available,Low,Yes,1,Medium,Medium,Public,Positive,3,No,College,Near,N/A,69
30,85.0,High,Low,Yes,Not Available,65,High,N/A,2,Low,Medium,Public,Negative,3,No,High School,Near,Female,70
16,79.0,High,Unknown,Yes,6,64,,Yes,4,Low,Low,Public,Not Available,4,Yes,College,Near,Male,67
21,76.0,--,Medium,NULL,6,50,Low,Not Available,2,Low,Medium,Public,N/A,4,No,Postgraduate,Moderate,N/A,63
16,97.0,Medium,Medium,No,7,87,Unknown,Yes,1,High,Unknown,Public,Neutral,3,No,High School,Near,Female,70
12,65.0,Medium,Medium,No,8,57,Medium,Yes,1,High,High,Private,Positive,5,Yes,High School,Near,Female,61
16,77.0,Low,High,Yes,6,76,Unknown,Yes,1,Low,Medium,Public,Neutral,NULL,No,Postgraduate,Moderate,Female,64
20,74.0,Medium,Medium,Yes,8,51,High,Yes,2,Medium,Unknown,Public,--,3,Not Available,College,Near,Male,65
17,80.0,Medium,Medium,No,6,81,Medium,Yes,--,Medium,High,Public,Neutral,1,No,College,Far,Male,NULL
Unknown,78.0,Medium,Low,Yes,7,68,High,Yes,3,Low,High,Private,Positive,3,No,Postgraduate,Far,Female,66
12,81.0,High,High,Yes,5,82,Low,Yes,1,Medium,High,Public,N/A,3,No,High School,Far,NULL,66
20,66.0,Low,Medium,Yes,Not Available,54,Medium,Yes,2,Medium,Not Available,Public,Positive,2,No,Postgraduate,Near,Male,63
11,81.0,Low,High,Yes,7,63,Medium,Yes,3,Medium,Medium,Public,Neutral,2,No,Postgraduate,Near,Male,66
25,70.0,Medium,Medium,Yes,9,56,High,Yes,0,Low,Medium,Public,Positive,1,No,High School,Far,,64
20,67.0,High,Low,No,8,82,Medium,Yes,3,Low,High,Public,Neutral,Not Available,Yes,High School,Near,Male,65
11,63.0,High,Medium,No,7,55,Low,Yes,3,High,Medium,Private,Positive,1,No,Postgraduate,Near,Male,62
18,91.0,Low,High,Yes,9,81,High,Yes,4,High,Medium,Public,Neutral,5,No,High School,Moderate,Male,71
15,77.0,Medium,Medium,Yes,--,57,Low,Yes,,--,Medium,Public,NULL,2,No,College,Near,NULL,63
,85.0,Medium,Unknown,No,9,97,High,Yes,N/A,Medium,High,Public,Negative,3,No,College,Moderate,Male,70
28,89.0,Medium,,--,6,71,Low,Yes,2,Low,Medium,Private,Neutral,,No,College,--,Male,70
NULL,87.0,Medium,Medium,No,8,56,Medium,Yes,1,Medium,High,Public,Positive,3,No,College,Moderate,Female,65
21,79.0,High,High,Yes,8,52,Medium,Yes,1,Low,,Public,Neutral,3,Yes,High School,Near,Female,66
19,Unknown,Medium,Low,,5,,Medium,Yes,2,Medium,Medium,Private,Positive,4,No,College,Near,Female,66
24,75.0,Medium,Low,No,9,95,High,Yes,0,Medium,High,Public,,2,No,College,,Male,68
21,86.0,High,High,No,5,57,Medium,Yes,1,N/A,Medium,Private,Negative,--,No,High School,Near,Male,68
15,80.0,--,Medium,Yes,5,90,Medium,Yes,4,Medium,High,Private,Neutral,3,No,High School,Near,Female,69
18,Unknown,Medium,Medium,Yes,4,71,Medium,Yes,NULL,Unknown,Low,Public,NULL,3,Not Available,College,Unknown,Female,71
--,Unknown,Medium,Medium,Yes,8,90,Low,Yes,2,Low,--,Private,Negative,1,No,Postgraduate,Near,Unknown,69
26,67.0,Medium,High,Yes,5,94,Medium,Yes,0,Medium,Medium,Public,Positive,,No,College,Near,N/A,68
20,65.0,Medium,High,Yes,6,100,Medium,Yes,2,Low,High,Public,Neutral,5,No,High School,Moderate,Male,67
31,85.0,High,Medium,No,8,53,Medium,Yes,2,Low,,Public,Positive,3,No,High School,Near,Male,72
20,72.0,High,Medium,Yes,7,90,High,Yes,2,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,68
16,61.0,High,Medium,Yes,6,53,Low,Yes,0,High,Medium,Public,Positive,4,Yes,High School,Moderate,Female,60
11,96.0,Medium,High,No,5,66,Not Available,Yes,2,Low,Medium,Public,Neutral,4,No,High School,Moderate,Male,--
9,69.0,High,Medium,Yes,7,NULL,High,Yes,1,High,High,Public,Positive,2,No,High School,Near,Female,65
10,97.0,NULL,High,No,8,72,N/A,Yes,0,Low,Medium,Public,Neutral,3,No,Postgraduate,Moderate,,67
22,89.0,Low,Medium,No,8,78,Low,Yes,N/A,High,Medium,Private,Positive,3,No,High School,Near,Female,70
23,91.0,Medium,Low,Yes,10,98,High,Yes,0,Low,High,Private,Negative,3,No,,Near,Female,70
N/A,68.0,Medium,Medium,No,6,91,Low,Yes,3,Low,High,Public,Negative,2,No,College,Not Available,Female,61
25,69.0,High,NULL,Yes,N/A,68,Medium,,2,High,High,Public,--,4,No,College,Far,Male,68
17,81.0,Medium,High,No,7,--,High,Yes,Unknown,Low,Medium,Public,Negative,3,No,Postgraduate,Near,Female,67
